Condition,Low fixed image (Door1),Low risky image (Door2),High fixed image (Door3),High risky image (Door4),Extreme Wild Card,NonExtreme Wild Card,,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,Trial Type,Left Option Image,Right Option Image,Chosen Door,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,Feedback,Cumulative Reward,Block,trial.thisRepN,trial.thisTrialN,trial.thisN,trial.thisIndex,trial.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
1,resources/DB.BMP,resources/DP.BMP,resources/DBN.BMP,resources/DG.BMP,resources/DR.BMP,resources/DY.BMP,,2023-08-16_09h25.14.724,HF_wild_card,2022.2.4,Linux armv81,120.3514262,63d650bb391dd8bb01d022ef,64d2fd46c836a06233681665,64dc79ccf9491dfdd0be8962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_09h25.14.724,HF_wild_card,2022.2.4,Linux armv81,120.3514262,63d650bb391dd8bb01d022ef,64d2fd46c836a06233681665,64dc79ccf9491dfdd0be8962,-0.019287149,-0.405843099,1,0,0,agree,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_09h25.14.724,HF_wild_card,2022.2.4,Linux armv81,120.3514262,63d650bb391dd8bb01d022ef,64d2fd46c836a06233681665,64dc79ccf9491dfdd0be8962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2023-08-16_09h25.14.724,HF_wild_card,2022.2.4,Linux armv81,120.3514262,63d650bb391dd8bb01d022ef,64d2fd46c836a06233681665,64dc79ccf9491dfdd0be8962,,,,,,,sngl,resources/DG.BMP,resources/Empty.png,Door4,-0.268310547,-0.05559063,1,0,0,1.0117,optionLeft,80,80,1,0,0,0,0,1,,,,,
,,,,,,,,2023-08-16_09h25.14.724,HF_wild_card,2022.2.4,Linux armv81,120.3514262,63d650bb391dd8bb01d022ef,64d2fd46c836a06233681665,64dc79ccf9491dfdd0be8962,,,,,,,decisionTrl,resources/DP.BMP,resources/DB.BMP,Door2,-0.36352542,0.000428836,1,0,0,1.1848,optionLeft,20,100,1,1,0,1,0,1,,,,,
,,,,,,,,2023-08-16_09h25.14.724,HF_wild_card,2022.2.4,Linux armv81,120.3514262,63d650bb391dd8bb01d022ef,64d2fd46c836a06233681665,64dc79ccf9491dfdd0be8962,,,,,,,decisionTrl,resources/DY.BMP,resources/DP.BMP,Door2,0.357910156,0.00147589,1,0,0,0.5171,optionRight,40,140,1,2,0,2,0,1,,,,,
,,,,,,,,2023-08-16_09h25.14.724,HF_wild_card,2022.2.4,Linux armv81,120.3514262,63d650bb391dd8bb01d022ef,64d2fd46c836a06233681665,64dc79ccf9491dfdd0be8962,,,,,,,ctch,resources/DBN.BMP,resources/DP.BMP,Door3,-0.3984375,-0.001665354,1,0,0,0.4584,optionLeft,70,210,1,3,0,3,0,1,,,,,
,,,,,,,,2023-08-16_09h25.14.724,HF_wild_card,2022.2.4,Linux armv81,120.3514262,63d650bb391dd8bb01d022ef,64d2fd46c836a06233681665,64dc79ccf9491dfdd0be8962,,,,,,,decisionTrl,resources/DB.BMP,resources/DY.BMP,WildCard_NonEx,0.279785156,0.046500762,1,0,0,0.468,optionRight,45,255,1,4,0,4,0,1,,,,,
,,,,,,,,2023-08-16_09h25.14.724,HF_wild_card,2022.2.4,Linux armv81,120.3514262,63d650bb391dd8bb01d022ef,64d2fd46c836a06233681665,64dc79ccf9491dfdd0be8962,,,,,,,decisionTrl,resources/DY.BMP,resources/DBN.BMP,Door3,0.340332031,0.034459273,1,0,0,0.4913,optionRight,70,325,1,5,0,5,0,1,,,,,
,,,,,,,,2023-08-16_09h25.14.724,HF_wild_card,2022.2.4,Linux armv81,120.3514262,63d650bb391dd8bb01d022ef,64d2fd46c836a06233681665,64dc79ccf9491dfdd0be8962,,,,,,,decisionTrl,resources/DG.BMP,resources/DBN.BMP,Door4,-0.388916016,0.000952323,1,0,0,0.4941,optionLeft,60,385,1,6,0,6,0,1,,,,,
,,,,,,,,2023-08-16_09h25.14.724,HF_wild_card,2022.2.4,Linux armv81,120.3514262,63d650bb391dd8bb01d022ef,64d2fd46c836a06233681665,64dc79ccf9491dfdd0be8962,,,,,,,decisionTrl,resources/DP.BMP,resources/DB.BMP,Door1,0.314697266,0.031318029,1,0,0,0.4687,optionRight,30,415,1,7,0,7,0,1,,,,,
,,,,,,,,2023-08-16_09h25.14.724,HF_wild_card,2022.2.4,Linux armv81,120.3514262,63d650bb391dd8bb01d022ef,64d2fd46c836a06233681665,64dc79ccf9491dfdd0be8962,,,,,,,sngl,resources/Empty.png,resources/DY.BMP,WildCard_NonEx,0.289794922,-9.47316E-05,1,0,0,0.4695,optionRight,45,460,1,8,0,8,0,1,,,,,
,,,,,,,,2023-08-16_09h25.14.724,HF_wild_card,2022.2.4,Linux armv81,120.3514262,63d650bb391dd8bb01d022ef,64d2fd46c836a06233681665,64dc79ccf9491dfdd0be8962,,,,,,,sngl,resources/Empty.png,resources/DB.BMP,Door1,0.295410156,0.022941271,1,0,0,0.4014,optionRight,30,490,1,9,0,9,0,1,,,,,
,,,,,,,,2023-08-16_09h25.14.724,HF_wild_card,2022.2.4,Linux armv81,120.3514262,63d650bb391dd8bb01d022ef,64d2fd46c836a06233681665,64dc79ccf9491dfdd0be8962,,,,,,,sngl,resources/Empty.png,resources/DG.BMP,Door4,0.3125,-0.021036545,1,0,0,0.4515,optionRight,60,550,1,10,0,10,0,1,,,,,
